,home,away,home_goal,away_goal,home_shots,away_shots,home_possession,away_possession,outcome,win_prob,draw_prob,lose_prob,RPS,BS
200,Everton,Leicester City,0,1,10,8,0.59,0.41,-1.0,0.4094868617366496,0.26506235007973766,0.3254507881836131,0.31134806454851965,0.23098472617561075
201,Arsenal,Fulham,4,1,14,9,0.59,0.41,1.0,0.799991840375761,0.10984313309210231,0.09016502653213683,0.024066497962907996,0.020066169937768438
202,Cardiff City,Tottenham Hotspur,0,3,6,11,0.26,0.74,-1.0,0.1530523547973773,0.18960512725789838,0.6573425179447246,0.07041958665874191,0.058929759199989155
203,Chelsea,Southampton,0,0,9,6,0.71,0.29,0.0,0.7839262154899406,0.14413809250779722,0.07193569200226216,0.3098575275581125,0.4507382199374723
204,Huddersfield Town,Burnley,1,2,6,16,0.42,0.58,-1.0,0.4315537169893301,0.2561481673386729,0.3122981156719971,0.32958624617779636,0.24159479199551784
205,West Ham United,Brighton & Hove Albion,2,2,13,9,0.54,0.46,0.0,0.4774066256662756,0.22503520140056638,0.2975581729331581,0.1582289762546893,0.3056761305258798
206,Wolverhampton Wanderers,Crystal Palace,0,2,7,11,0.51,0.49,-1.0,0.46227436953552253,0.3206351885500237,0.21709044191445365,0.4133224844355851,0.30981729766922644
207,AFC Bournemouth,Watford,3,3,21,10,0.57,0.43,0.0,0.4874486343455825,0.2236848547209311,0.28886651093348625,0.1605250161321297,0.3079050790179737
208,Newcastle United,Manchester United,0,2,12,14,0.34,0.66,-1.0,0.3418569737888198,0.26146795598252487,0.3966750702286559,0.24043358070582388,0.18307755113910887
209,Manchester City,Liverpool,2,1,9,8,0.49,0.51,1.0,0.4511447733448523,0.26389164506416435,0.28496358159098273,0.1912231513299172,0.1506950343315017
210,West Ham United,Arsenal,1,0,11,11,0.41,0.59,1.0,0.2946603003909714,0.1881487001021628,0.5171909995068658,0.3824953109077328,0.2667968517218664
211,Brighton & Hove Albion,Liverpool,0,1,6,9,0.29,0.71,-1.0,0.11854136153698078,0.20788460535088343,0.6735740331121356,0.0603029831268591,0.0546073251318703
212,Burnley,Fulham,2,1,7,9,0.41,0.59,1.0,0.460497192096288,0.20361420056752275,0.33588860733618886,0.2019422181371172,0.14844772631566186
213,Cardiff City,Huddersfield Town,0,0,0,7,0.38,0.62,0.0,0.4521726724446467,0.2669839339214502,0.2808433936339032,0.14166656872677064,0.27354856352760476
214,Crystal Palace,Watford,1,2,13,12,0.55,0.45,-1.0,0.3187496094963002,0.3138313048496931,0.36741908565400677,0.25087996337442836,0.20008333821750593
215,Leicester City,Southampton,1,2,15,7,0.71,0.29,-1.0,0.6460729246731605,0.21448774562028505,0.1394393297065545,0.5789874456258177,0.40132662809096925
216,Chelsea,Newcastle United,2,1,9,9,0.65,0.35,1.0,0.6377732753594202,0.23027264175269566,0.1319540828878844,0.07431004001731252,0.06721518985813014
217,Everton,AFC Bournemouth,2,0,12,15,0.5,0.5,1.0,0.44314447109122845,0.22747317558958205,0.3293823533191894,0.20929040737717755,0.1567749534557213
218,Tottenham Hotspur,Manchester United,0,1,18,12,0.61,0.39,-1.0,0.569555340886542,0.1790864559497812,0.2513582031636767,0.4424289131513519,0.3056432616691189
219,Manchester City,Wolverhampton Wanderers,3,0,17,2,0.76,0.24,1.0,0.7881072664354013,0.14411220640688124,0.06778052715771753,0.024746365199628043,0.02342035281157188
220,Wolverhampton Wanderers,Leicester City,4,3,11,12,0.45,0.55,1.0,0.3182833980771536,0.2909797380746129,0.3907368638482333,0.3087064110535928,0.23402734335905195
221,AFC Bournemouth,West Ham United,2,0,10,8,0.38,0.62,1.0,0.4583959710737543,0.21399679740325925,0.3276072315229861,0.2003307111476486,0.1488186838647162
222,Liverpool,Crystal Palace,4,3,17,7,0.7,0.3,1.0,0.802501196885953,0.1974988031048296,9.21739760126891e-12,0.01950288861574055,0.02600385148644045
223,Manchester United,Brighton & Hove Albion,2,1,15,7,0.56,0.44,1.0,0.5134701806364597,0.1953940505368021,0.29113576882673825,0.1607356505101276,0.11988337866847786
224,Newcastle United,Cardiff City,3,0,12,7,0.53,0.47,1.0,0.5067863028868774,0.2861388757746132,0.20707482133850943,0.1430698663261853,0.12267172962731004
225,Southampton,Everton,2,1,9,4,0.39,0.61,1.0,0.19540659854474773,0.2413865780854411,0.5632068233698109,0.4822862337778232,0.34094664921181494
226,Watford,Burnley,0,0,8,11,0.54,0.46,0.0,0.6027349487293653,0.2056343028961489,0.19163074837448577,0.20000588107117806,0.3436762076258811
227,Arsenal,Chelsea,2,0,13,11,0.35,0.65,1.0,0.43322622671030586,0.17915385686761645,0.3876199164220778,0.23574085484804805,0.1678592713755462
228,Huddersfield Town,Manchester City,0,3,6,11,0.32,0.68,-1.0,0.044555328010055024,0.13457550196474086,0.820869170025204,0.01703651575077141,0.017394532410201616
229,Fulham,Tottenham Hotspur,1,2,10,12,0.26,0.74,-1.0,0.10173782210864053,0.14818774777802765,0.7500744301133317,0.03640668746529263,0.03159099450736987
230,Arsenal,Cardiff City,2,1,10,12,0.7,0.3,1.0,0.7356826057675979,0.1386573598190916,0.12566003441331017,0.042827064571280715,0.03495999752485413
231,Fulham,Brighton & Hove Albion,4,2,18,11,0.61,0.39,1.0,0.25249292706157866,0.21160993600724573,0.5358971369311754,0.4229762827319988,0.29691044349366263
232,Huddersfield Town,Everton,0,1,9,10,0.58,0.42,-1.0,0.1860426080964752,0.27185007156347996,0.5421073203400448,0.12213877905675649,0.10606000650752738
233,Wolverhampton Wanderers,West Ham United,3,0,14,4,0.54,0.46,1.0,0.35692496557511016,0.2783213385621674,0.3647536958627221,0.27329537927304437,0.2080178420150417
234,Manchester United,Burnley,2,2,21,5,0.74,0.26,0.0,0.6720144033679828,0.1552005375723645,0.1727850590596527,0.24072901748413678,0.3983813888954318
235,Newcastle United,Manchester City,2,1,6,8,0.23,0.77,1.0,0.07948947981258597,0.1796185767001909,0.740891943487223,0.698130244849989,0.4761744409319267
236,AFC Bournemouth,Chelsea,4,0,10,10,0.32,0.68,1.0,0.29707046605962695,0.19980680155966088,0.5031227323807123,0.3736212067619319,0.2623883904911219
237,Southampton,Crystal Palace,1,1,10,13,0.58,0.42,0.0,0.30308764937532967,0.2947492104652474,0.4021631401594228,0.12679865725337522,0.2503253302153807
238,Liverpool,Leicester City,1,1,9,5,0.72,0.28,0.0,0.6863881495043037,0.21975570203458353,0.09385614846111297,0.23996883419194842,0.36290627763048083
239,Tottenham Hotspur,Watford,2,1,10,7,0.68,0.32,1.0,0.6135819436290508,0.20298595592849078,0.18343210044245845,0.0914831248811171,0.07472318268881248
240,Tottenham Hotspur,Newcastle United,1,0,13,6,0.71,0.29,1.0,0.6420691505110225,0.22684316702547977,0.13108768246349772,0.07264923675477591,0.06558543197856719
241,Brighton & Hove Albion,Watford,0,0,18,6,0.55,0.45,0.0,0.4126700102249322,0.24612066129550894,0.3412093284795584,0.14336017159025857,0.2850181335020125
242,Burnley,Southampton,1,1,10,8,0.54,0.46,0.0,0.4041062816414293,0.2286751815686638,0.3672185367899066,0.14907567031209118,0.2976977720507719
243,Chelsea,Huddersfield Town,5,0,16,4,0.65,0.35,1.0,0.7613143642734885,0.16552016771503084,0.07316546801148112,0.03116200920575396,0.029906981443973312
244,Crystal Palace,Fulham,2,0,12,8,0.37,0.63,1.0,0.5406093572446252,0.24612889765294005,0.21326174510243434,0.1282601672876661,0.10569992294506116
245,Everton,Wolverhampton Wanderers,1,3,7,7,0.64,0.36,-1.0,0.4649444853666389,0.2766313777205034,0.25842413691285837,0.38305406759314437,0.2808776847752772
246,Cardiff City,AFC Bournemouth,2,0,6,8,0.26,0.74,1.0,0.2798668882535876,0.21273523773450595,0.5073978740119072,0.38802215059268674,0.27376686085311036
247,Leicester City,Manchester United,0,1,15,9,0.44,0.56,-1.0,0.4515187631564944,0.21539539376074332,0.3330858430827626,0.3243218430895003,0.23167962061078193
248,Manchester City,Arsenal,3,1,16,3,0.58,0.42,1.0,0.6680650726146564,0.14946616470411564,0.18246876268122794,0.0717378226863658,0.05527192658802981
249,West Ham United,Liverpool,1,1,10,10,0.26,0.74,0.0,0.1243601203583916,0.23687563454220273,0.6387642450994057,0.2117426001764836,0.3352813325027777
250,Everton,Manchester City,0,2,2,9,0.38,0.62,-1.0,0.14750518427218856,0.19051079516638186,0.6619840205614295,0.06800629087149418,0.05743564827263852
251,Fulham,Manchester United,0,3,11,12,0.51,0.49,-1.0,0.22641885828623784,0.17619981941652807,0.5973813222972343,0.1066836495113836,0.08147122512839469
252,Crystal Palace,West Ham United,1,1,16,5,0.57,0.43,0.0,0.25864652833504337,0.3031644616755854,0.4381890099893709,0.12945381754761784,0.24816246752237067
253,Huddersfield Town,Arsenal,1,2,14,9,0.54,0.46,-1.0,0.14086099013570585,0.1834017214797486,0.6757372883845459,0.0624940623431094,0.05287477204265128
254,Liverpool,AFC Bournemouth,3,0,16,8,0.65,0.35,1.0,0.7039895708972147,0.18465583673606067,0.11135459236672492,0.050011009689387244,0.04470659913982308
255,Southampton,Cardiff City,1,2,13,7,0.66,0.34,-1.0,0.3879056268222381,0.23656180686809525,0.3755325663096668,0.2702151755300721,0.19879727984294737
256,Watford,Everton,1,0,6,9,0.44,0.56,1.0,0.3359990772575794,0.27062497541673547,0.3933759473256851,0.2978209306685831,0.22295991288549163
