,home,away,home_goal,away_goal,home_shots,away_shots,home_possession,away_possession,outcome,win_prob,draw_prob,lose_prob,RPS,BS,,,,,,,,,,,,,,,,
200,Brasil de Pelotas,AvaÃ­,1,1,14,18,0.51,0.49,0,0.220175198,0.293956757,0.485868045,0.142272438,0.261013979,,2,,2.81,2.9,2.94,,0.355871886,0.344827586,0.340136054,,1.040835527,,0.341909819,0.331298824,0.326791357
201,Ponte Preta,CriciÃºma,3,1,14,6,0.51,0.49,1,0.566942743,0.265284285,0.167772972,0.107843179,0.095354037,,1,,1.88,3.15,5.28,,0.531914894,0.317460317,0.189393939,,1.03876915,,0.512062659,0.305612,0.182325341
202,Londrina,Paysandu,2,1,14,7,0.46,0.54,1,0.472871927,0.258847613,0.26828046,0.174919205,0.138946833,,1,,2.13,3.02,4.17,,0.469483568,0.331125828,0.239808153,,1.040417549,,0.451245337,0.31826244,0.230492223
203,Vila Nova,CRB,0,0,0,3,0.58,0.42,0,0.509817452,0.356849648,0.1333329,0.138845748,0.230444624,,2,,1.79,3.24,5.8,,0.558659218,0.308641975,0.172413793,,1.039714986,,0.537319578,0.296852483,0.165827939
204,Figueirense,GoiÃ¡s,1,2,7,15,0.46,0.54,-1,0.560066824,0.202722241,0.237210936,0.447761002,0.312206104,,3,,2.28,3.18,3.48,,0.438596491,0.314465409,0.287356322,,1.040418222,,0.421557872,0.30224904,0.276193088
205,Oeste,Juventude,0,0,14,17,0.54,0.46,0,0.522019372,0.248103117,0.229877511,0.162673947,0.296898939,,2,,2.45,2.96,3.39,,0.408163265,0.337837838,0.294985251,,1.040986354,,0.392092811,0.324536279,0.28337091
206,Fortaleza,Boa,2,1,18,8,0.52,0.48,1,0.819667482,0.15952696,0.020805558,0.016476344,0.01946718,,1,,1.39,4.53,9.99,,0.71942446,0.220750552,0.1001001,,1.040275112,,0.691571347,0.212204011,0.096224642
207,AtlÃ©tico GO,Coritiba,1,0,4,4,0.5,0.5,1,0.485595499,0.206972231,0.30743227,0.179563296,0.133988032,,1,,2.27,3.06,3.65,,0.440528634,0.326797386,0.273972603,,1.041298623,,0.423056964,0.313836376,0.26310666
208,Sampaio CorrÃªa,Guarani,0,2,15,14,0.49,0.51,-1,0.339341676,0.243987477,0.416670847,0.227712837,0.171651854,,3,,2.7,3.19,2.81,,0.37037037,0.313479624,0.355871886,,1.03972188,,0.356220618,0.301503344,0.342276038
209,CSA,SÃ£o Bento,1,0,18,9,0.63,0.37,1,0.611169913,0.225973928,0.162856159,0.088855483,0.076258394,,1,,1.95,3.15,4,,0.512820513,0.317460317,0.25,,1.08028083,,0.47471037,0.293868324,0.231421305
210,Brasil de Pelotas,Paysandu,0,0,12,7,0.58,0.42,0,0.411455863,0.306047404,0.282496732,0.124550166,0.243556845,,2,,2.02,3.2,4.3,,0.495049505,0.3125,0.23255814,,1.040107644,,0.475959875,0.300449671,0.223590453
211,AvaÃ­,Juventude,1,0,17,9,0.57,0.43,1,0.591204338,0.243390648,0.165405014,0.097236356,0.084570573,,1,,1.76,3.4,5.6,,0.568181818,0.294117647,0.178571429,,1.040870894,,0.54587156,0.282568807,0.171559633
212,CriciÃºma,Coritiba,2,2,15,11,0.43,0.57,0,0.304946667,0.275203531,0.419849802,0.134633163,0.264865416,,2,,2.32,3.06,3.54,,0.431034483,0.326797386,0.282485876,,1.040317744,,0.414329646,0.314132281,0.271538073
213,Londrina,Ponte Preta,1,0,10,10,0.47,0.53,1,0.267654438,0.295718484,0.436627078,0.363486613,0.271474216,,1,,2.61,3.01,3.09,,0.383141762,0.332225914,0.323624595,,1.038992272,,0.368762861,0.31975783,0.31147931
