home,away,home_goal,away_goal,home_shots,away_shots,home_possession,away_possession
Manchester United,Leicester City,2,1,8,8,0.46,0.54
Newcastle United,Tottenham Hotspur,1,2,11,13,0.4,0.6
AFC Bournemouth,Cardiff City,2,0,11,7,0.62,0.38
Fulham,Crystal Palace,0,2,11,11,0.66,0.34
Huddersfield Town,Chelsea,0,3,6,8,0.37,0.63
Watford,Brighton & Hove Albion,2,0,15,6,0.53,0.47
Wolverhampton Wanderers,Everton,2,2,10,9,0.57,0.43
Liverpool,West Ham United,4,0,16,5,0.64,0.36
Southampton,Burnley,0,0,10,13,0.47,0.53
Arsenal,Manchester City,0,2,8,14,0.42,0.58
Cardiff City,Newcastle United,0,0,8,8,0.51,0.49
Everton,Southampton,2,1,11,11,0.58,0.42
Leicester City,Wolverhampton Wanderers,2,0,5,11,0.42,0.58
Tottenham Hotspur,Fulham,3,1,22,9,0.59,0.41
West Ham United,AFC Bournemouth,1,2,9,9,0.61,0.39
Chelsea,Arsenal,3,2,19,13,0.62,0.38
Burnley,Watford,1,3,7,7,0.58,0.42
Manchester City,Huddersfield Town,6,1,24,4,0.76,0.24
Brighton & Hove Albion,Manchester United,3,2,7,8,0.33,0.67
Crystal Palace,Liverpool,0,2,8,11,0.36,0.64
Wolverhampton Wanderers,Manchester City,1,1,9,13,0.28,0.72
AFC Bournemouth,Everton,2,2,16,9,0.49,0.51
Arsenal,West Ham United,3,1,13,11,0.61,0.39
Huddersfield Town,Cardiff City,0,0,4,11,0.58,0.42
Southampton,Leicester City,1,2,10,9,0.51,0.49
Liverpool,Brighton & Hove Albion,1,0,16,5,0.7,0.3
Watford,Crystal Palace,2,1,10,9,0.43,0.57
Fulham,Burnley,4,2,23,8,0.63,0.37
Newcastle United,Chelsea,1,2,5,11,0.18,0.82
Manchester United,Tottenham Hotspur,0,3,18,8,0.57,0.43
Leicester City,Liverpool,1,2,9,9,0.51,0.49
Brighton & Hove Albion,Fulham,2,2,13,9,0.41,0.59
Chelsea,AFC Bournemouth,2,0,13,8,0.72,0.28
Crystal Palace,Southampton,0,2,14,13,0.5,0.5
Everton,Huddersfield Town,1,1,10,8,0.57,0.43
West Ham United,Wolverhampton Wanderers,0,1,9,14,0.47,0.53
Manchester City,Newcastle United,2,1,18,4,0.78,0.22
Cardiff City,Arsenal,2,3,14,16,0.27,0.73
Burnley,Manchester United,0,2,9,16,0.46,0.54
Watford,Tottenham Hotspur,2,1,7,10,0.34,0.66
Tottenham Hotspur,Liverpool,1,2,9,16,0.6,0.4
AFC Bournemouth,Leicester City,4,2,8,13,0.46,0.54
Chelsea,Cardiff City,4,1,16,7,0.76,0.24
Huddersfield Town,Crystal Palace,0,1,12,5,0.58,0.42
Manchester City,Fulham,3,0,18,9,0.64,0.36
Newcastle United,Arsenal,1,2,3,8,0.36,0.64
Watford,Manchester United,1,2,9,8,0.42,0.58
Wolverhampton Wanderers,Burnley,1,0,21,8,0.58,0.42
Everton,West Ham United,1,3,11,7,0.55,0.45
Southampton,Brighton & Hove Albion,2,2,12,10,0.51,0.49
Fulham,Watford,1,1,10,11,0.6,0.4
Burnley,AFC Bournemouth,4,0,9,11,0.37,0.63
Cardiff City,Manchester City,0,5,3,15,0.21,0.79
Crystal Palace,Newcastle United,0,0,12,7,0.61,0.39
Leicester City,Huddersfield Town,3,1,16,8,0.62,0.38
Liverpool,Southampton,3,0,10,3,0.6,0.4
Manchester United,Wolverhampton Wanderers,1,1,10,12,0.64,0.36
Brighton & Hove Albion,Tottenham Hotspur,1,2,8,13,0.28,0.72
West Ham United,Chelsea,0,0,6,13,0.28,0.72
Arsenal,Everton,2,0,7,9,0.62,0.38
West Ham United,Manchester United,3,1,8,6,0.49,0.51
Arsenal,Watford,2,0,9,13,0.63,0.37
Everton,Fulham,3,0,13,7,0.51,0.49
Huddersfield Town,Tottenham Hotspur,0,2,9,11,0.52,0.48
Manchester City,Brighton & Hove Albion,2,0,22,3,0.8,0.2
Newcastle United,Leicester City,0,2,6,10,0.41,0.59
Wolverhampton Wanderers,Southampton,2,0,13,11,0.48,0.52
Chelsea,Liverpool,1,1,9,13,0.47,0.53
Cardiff City,Burnley,1,2,15,4,0.54,0.46
AFC Bournemouth,Crystal Palace,2,1,10,7,0.44,0.56
Brighton & Hove Albion,West Ham United,1,0,9,12,0.35,0.65
Burnley,Huddersfield Town,1,1,4,10,0.31,0.69
Crystal Palace,Wolverhampton Wanderers,0,1,9,8,0.67,0.33
Leicester City,Everton,1,2,8,14,0.51,0.49
Tottenham Hotspur,Cardiff City,1,0,14,9,0.75,0.25
Watford,AFC Bournemouth,0,4,5,11,0.47,0.53
Manchester United,Newcastle United,3,2,16,14,0.73,0.27
Fulham,Arsenal,1,5,13,10,0.48,0.52
Southampton,Chelsea,0,3,13,10,0.34,0.66
Liverpool,Manchester City,0,0,7,6,0.49,0.51
Chelsea,Manchester United,2,2,15,8,0.62,0.38
AFC Bournemouth,Southampton,0,0,8,7,0.57,0.43
Cardiff City,Fulham,4,2,16,8,0.4,0.6
Manchester City,Burnley,5,0,17,5,0.69,0.31
Newcastle United,Brighton & Hove Albion,0,1,19,7,0.68,0.32
West Ham United,Tottenham Hotspur,0,1,12,7,0.44,0.56
Wolverhampton Wanderers,Watford,0,2,8,6,0.44,0.56
Huddersfield Town,Liverpool,0,1,8,7,0.47,0.53
Everton,Crystal Palace,2,0,14,8,0.59,0.41
Arsenal,Leicester City,3,1,18,6,0.69,0.31
