home,away,home_goal,away_goal,home_shots,away_shots,home_possession,away_possession
Cruzeiro,Grêmio,0,1,11,5,0.42,0.58
Vitória,Flamengo,2,2,9,7,0.48,0.52
Santos,Ceará,2,0,24,10,0.53,0.47
América Mineiro,Sport Recife,3,0,13,15,0.39,0.61
Vasco da Gama,Atlético Mineiro,2,1,19,12,0.67,0.33
Corinthians,Fluminense,2,1,13,15,0.61,0.39
Internacional,Bahia,2,0,14,12,0.44,0.56
Atlético PR,Chapecoense,5,1,15,14,0.64,0.36
Botafogo,Palmeiras,1,1,13,8,0.48,0.52
São Paulo,Paraná,1,0,12,7,0.51,0.49
Bahia,Santos,1,0,12,7,0.5,0.5
Flamengo,América Mineiro,2,0,14,17,0.52,0.48
Paraná,Corinthians,0,4,16,9,0.57,0.43
Atlético Mineiro,Vitória,2,1,14,11,0.59,0.41
Chapecoense,Vasco da Gama,1,1,12,15,0.42,0.58
Fluminense,Cruzeiro,1,0,3,15,0.36,0.64
Ceará,São Paulo,0,0,12,11,0.54,0.46
Palmeiras,Internacional,1,0,12,8,0.46,0.54
Grêmio,Atlético PR,0,0,21,6,0.54,0.46
Sport Recife,Botafogo,1,1,21,7,0.54,0.46
Botafogo,Grêmio,2,1,18,8,0.58,0.42
Atlético Mineiro,Corinthians,1,0,14,5,0.57,0.43
Paraná,Sport Recife,1,2,18,10,0.67,0.33
Bahia,Atlético PR,0,0,22,10,0.43,0.57
Fluminense,São Paulo,1,1,8,6,0.57,0.43
Ceará,Flamengo,0,3,8,18,0.45,0.55
Palmeiras,Chapecoense,0,0,16,6,0.72,0.28
Internacional,Cruzeiro,0,0,14,8,0.63,0.37
América Mineiro,Vitória,2,1,11,14,0.41,0.59
Vasco da Gama,América Mineiro,4,1,19,6,0.6,0.4
São Paulo,Atlético Mineiro,2,2,8,10,0.45,0.55
Corinthians,Ceará,1,1,12,5,0.61,0.39
Cruzeiro,Botafogo,1,0,19,6,0.53,0.47
Atlético PR,Palmeiras,1,3,9,12,0.56,0.44
Vitória,Fluminense,1,2,8,13,0.38,0.62
Flamengo,Internacional,2,0,13,9,0.57,0.43
Sport Recife,Bahia,2,0,19,7,0.48,0.52
Grêmio,Santos,5,1,19,8,0.62,0.38
Chapecoense,Paraná,1,1,12,16,0.45,0.55
Grêmio,Internacional,0,0,16,5,0.71,0.29
Cruzeiro,Sport Recife,2,0,10,6,0.59,0.41
Corinthians,Palmeiras,1,0,10,10,0.51,0.49
Vasco da Gama,Vitória,2,3,18,10,0.65,0.35
Chapecoense,Flamengo,3,2,11,16,0.45,0.55
Atlético PR,Atlético Mineiro,1,2,14,23,0.6,0.4
Bahia,São Paulo,2,2,11,8,0.45,0.55
Santos,Paraná,3,1,5,6,0.55,0.45
Botafogo,Fluminense,2,1,9,21,0.39,0.61
Ceará,América Mineiro,2,2,21,11,0.6,0.4
Atlético Mineiro,Cruzeiro,1,0,14,13,0.6,0.4
Flamengo,Vasco da Gama,1,1,6,13,0.58,0.42
Palmeiras,Bahia,3,0,11,10,0.53,0.47
Vitória,Ceará,2,1,13,14,0.51,0.49
Paraná,Grêmio,0,0,8,8,0.3,0.7
América Mineiro,Botafogo,1,0,15,8,0.44,0.56
São Paulo,Santos,1,0,14,7,0.43,0.57
Sport Recife,Corinthians,1,1,14,7,0.46,0.54
Fluminense,Atlético PR,2,0,14,18,0.37,0.63
Internacional,Chapecoense,3,0,14,9,0.52,0.48
Fluminense,Chapecoense,3,1,10,17,0.4,0.6
Palmeiras,Sport Recife,2,3,12,13,0.62,0.38
Atlético Mineiro,Flamengo,0,1,14,8,0.67,0.33
Paraná,Atlético PR,0,0,15,7,0.42,0.58
Botafogo,Vitória,1,1,9,6,0.57,0.43
Bahia,Vasco da Gama,3,0,12,6,0.56,0.44
Santos,Cruzeiro,0,1,12,11,0.51,0.49
Internacional,Corinthians,2,1,13,5,0.59,0.41
Ceará,Grêmio,0,1,13,13,0.4,0.6
América Mineiro,São Paulo,1,3,12,10,0.48,0.52
Vasco da Gama,Paraná,1,0,14,10,0.47,0.53
Sport Recife,Atlético Mineiro,3,2,12,14,0.46,0.54
Vitória,Internacional,2,3,18,14,0.5,0.5
São Paulo,Botafogo,3,2,16,11,0.47,0.53
Chapecoense,Ceará,2,0,14,7,0.53,0.47
Cruzeiro,Palmeiras,1,0,12,7,0.46,0.54
Grêmio,Fluminense,0,0,15,6,0.65,0.35
Flamengo,Bahia,2,0,9,9,0.56,0.44
Corinthians,América Mineiro,1,0,11,11,0.54,0.46
Atlético PR,Santos,2,0,13,9,0.46,0.54
Atlético Mineiro,Chapecoense,3,3,19,7,0.61,0.39
Internacional,Sport Recife,0,0,10,3,0.59,0.41
Vasco da Gama,Botafogo,1,2,11,12,0.65,0.35
Palmeiras,São Paulo,3,1,5,5,0.51,0.49
América Mineiro,Atlético PR,3,1,19,8,0.46,0.54
Bahia,Grêmio,0,2,15,9,0.59,0.41
Flamengo,Corinthians,1,0,8,4,0.53,0.47
Santos,Vitória,5,2,9,6,0.52,0.48
Ceará,Cruzeiro,0,1,8,12,0.41,0.59
Paraná,Fluminense,2,1,10,7,0.46,0.54
São Paulo,Internacional,0,0,10,14,0.54,0.46
Vitória,Chapecoense,1,0,15,11,0.5,0.5
Botafogo,Ceará,0,0,15,8,0.57,0.43
Sport Recife,Atlético PR,1,0,12,4,0.36,0.64
Corinthians,Santos,1,1,14,17,0.47,0.53
Cruzeiro,Vasco da Gama,1,1,19,7,0.66,0.34
Grêmio,Palmeiras,0,2,14,11,0.49,0.51
Paraná,Bahia,1,0,14,11,0.46,0.54
Fluminense,Flamengo,0,2,7,9,0.51,0.49
América Mineiro,Atlético Mineiro,1,3,18,13,0.53,0.47
Atlético PR,São Paulo,0,1,11,11,0.56,0.44
Chapecoense,Cruzeiro,2,0,11,8,0.47,0.53
Vasco da Gama,Sport Recife,3,2,12,12,0.41,0.59
Corinthians,Vitória,0,0,19,13,0.58,0.42
Atlético Mineiro,Fluminense,5,2,17,17,0.48,0.52
Bahia,Botafogo,3,3,22,13,0.63,0.37
Ceará,Palmeiras,2,2,18,7,0.44,0.56
Grêmio,América Mineiro,1,0,5,11,0.6,0.4
Flamengo,Paraná,2,0,13,8,0.56,0.44
Santos,Internacional,1,2,13,12,0.58,0.42
São Paulo,Vitória,3,0,16,10,0.56,0.44
América Mineiro,Chapecoense,0,0,14,11,0.52,0.48
Fluminense,Santos,0,1,8,6,0.51,0.49
Paraná,Cruzeiro,1,1,8,10,0.43,0.57
Sport Recife,Grêmio,0,0,12,6,0.51,0.49
Botafogo,Atlético PR,2,0,17,6,0.44,0.56
Palmeiras,Flamengo,1,1,8,10,0.53,0.47
Atlético Mineiro,Ceará,2,1,22,8,0.63,0.37
Bahia,Corinthians,1,0,24,11,0.48,0.52
Internacional,Vasco da Gama,3,1,13,11,0.54,0.46
Ceará,Sport Recife,1,0,15,11,0.41,0.59
Vitória,Paraná,1,0,12,8,0.51,0.49
Flamengo,São Paulo,0,1,22,13,0.62,0.38
Corinthians,Botafogo,2,0,8,26,0.45,0.55
Grêmio,Atlético Mineiro,2,0,20,4,0.6,0.4
Cruzeiro,América Mineiro,3,1,14,10,0.55,0.45
Chapecoense,Bahia,1,1,5,11,0.5,0.5
Vasco da Gama,Fluminense,1,1,12,8,0.53,0.47
Santos,Palmeiras,1,1,17,9,0.48,0.52
Atlético PR,Internacional,2,2,21,14,0.51,0.49
Flamengo,Botafogo,2,0,9,19,0.5,0.5
São Paulo,Corinthians,3,1,18,9,0.53,0.47
Paraná,América Mineiro,1,0,13,13,0.47,0.53
Bahia,Vitória,4,1,14,9,0.53,0.47
Vasco da Gama,Grêmio,1,0,8,18,0.39,0.61
Sport Recife,Fluminense,1,2,19,12,0.53,0.47
Palmeiras,Atlético Mineiro,3,2,8,13,0.46,0.54
Cruzeiro,Atlético PR,2,1,17,8,0.53,0.47
Chapecoense,Santos,0,0,12,13,0.55,0.45
Internacional,Ceará,1,0,10,11,0.61,0.39
Fluminense,Palmeiras,1,0,7,9,0.41,0.59
Atlético Mineiro,Paraná,2,0,7,17,0.52,0.48
Santos,Flamengo,1,1,12,13,0.46,0.54
