,3 Step model,,,,,Soccer_ve_new_updated,,,,,,,,,,,,,,,0.924116054,,,,,0.941112899
,,,,,,,,,,outcome,,outcome Index,,1,2,3,,,,,,,,,,
0.409486862,0.26506235,0.325450788,,,0.504914118,0.134064276,0.361021606,,,-1,,3,,0,0,1,,0,0,-1.122544018,1.122544018,,0,0,-1.018817472,1.018817472
0.79999184,0.109843133,0.090165027,,,0.694178249,0.112452548,0.193369203,,,1,,1,,1,0,0,,-0.223153751,0,0,0.223153751,,-0.365026509,0,0,0.365026509
0.153052355,0.189605127,0.657342518,,,0.20867607,0.112047364,0.679276566,,,-1,,3,,0,0,1,,0,0,-0.41955006,0.41955006,,0,0,-0.386726921,0.386726921
0.783926215,0.144138093,0.071935692,,,0.691286907,0.109053656,0.199659437,,,0,,2,,0,1,0,,0,-1.93698346,0,1.93698346,,0,-2.215915261,0,2.215915261
0.431553717,0.256148167,0.312298116,,,0.819333606,0.076633291,0.104033103,,,-1,,3,,0,0,1,,0,0,-1.163797047,1.163797047,,0,0,-2.263046132,2.263046132
0.477406626,0.225035201,0.297558173,,,0.591059863,0.124777409,0.284162728,,,0,,2,,0,1,0,,0,-1.49149844,0,1.49149844,,0,-2.081223857,0,2.081223857
0.46227437,0.320635189,0.217090442,,,0.514085402,0.136442848,0.34947175,,,-1,,3,,0,0,1,,0,0,-1.527441229,1.527441229,,0,0,-1.05133255,1.05133255
0.487448634,0.223684855,0.288866511,,,0.436525796,0.136894381,0.426579823,,,0,,2,,0,1,0,,0,-1.497517115,0,1.497517115,,0,-1.988545592,0,1.988545592
0.341856974,0.261467956,0.39667507,,,0.358618124,0.13275294,0.508628937,,,-1,,3,,0,0,1,,0,0,-0.924637797,0.924637797,,0,0,-0.676036532,0.676036532
0.451144773,0.263891645,0.284963582,,,0.705723497,0.105781281,0.188495223,,,1,,1,,1,0,0,,-0.795966987,0,0,0.795966987,,-0.348531766,0,0,0.348531766
0.2946603,0.1881487,0.517191,,,0.342029804,0.135662732,0.522307464,,,1,,1,,1,0,0,,-1.221932112,0,0,1.221932112,,-1.0728574,0,0,1.0728574
0.118541362,0.207884605,0.673574033,,,0.067143269,0.059985284,0.872871447,,,-1,,3,,0,0,1,,0,0,-0.395157366,0.395157366,,0,0,-0.135966988,0.135966988
0.460497192,0.203614201,0.335888607,,,0.336081268,0.134353161,0.529565571,,,1,,1,,1,0,0,,-0.775448521,0,0,0.775448521,,-1.090402279,0,0,1.090402279
0.452172672,0.266983934,0.280843394,,,0.381734441,0.133695901,0.484569658,,,0,,2,,0,1,0,,0,-1.320566795,0,1.320566795,,0,-2.012187454,0,2.012187454
0.318749609,0.313831305,0.367419086,,,0.635841382,0.123658583,0.240500035,,,-1,,3,,0,0,1,,0,0,-1.001252159,1.001252159,,0,0,-1.425035044,1.425035044
0.646072925,0.214487746,0.13943933,,,0.569889102,0.127472864,0.302638034,,,-1,,3,,0,0,1,,0,0,-1.970125683,1.970125683,,0,0,-1.195217795,1.195217795
0.637773275,0.230272642,0.131954083,,,0.84084284,0.072915766,0.086241394,,,1,,1,,1,0,0,,-0.449772427,0,0,0.449772427,,-0.173350509,0,0,0.173350509
0.443144471,0.227473176,0.329382353,,,0.596900596,0.124394954,0.27870445,,,1,,1,,1,0,0,,-0.813859442,0,0,0.813859442,,-0.516004685,0,0,0.516004685
0.569555341,0.179086456,0.251358203,,,0.45970383,0.147825913,0.392470257,,,-1,,3,,0,0,1,,0,0,-1.380876254,1.380876254,,0,0,-0.935294523,0.935294523
0.788107266,0.144112206,0.067780527,,,0.896708383,0.049900681,0.053390937,,,1,,1,,1,0,0,,-0.238121074,0,0,0.238121074,,-0.109024572,0,0,0.109024572
0.318283398,0.290979738,0.390736864,,,0.411090445,0.136813025,0.45209653,,,1,,1,,1,0,0,,-1.144813104,0,0,1.144813104,,-0.888942028,0,0,0.888942028
0.458395971,0.213996797,0.327607232,,,0.611039453,0.122151969,0.266808577,,,1,,1,,1,0,0,,-0.780021903,0,0,0.780021903,,-0.492593751,0,0,0.492593751
0.802501197,0.197498803,9.2174E-12,,,0.851491642,0.069887201,0.078621156,,,1,,1,,1,0,0,,-0.220021932,0,0,0.220021932,,-0.160765595,0,0,0.160765595
0.513470181,0.195394051,0.291135769,,,0.746062931,0.09730589,0.156631179,,,1,,1,,1,0,0,,-0.666563321,0,0,0.666563321,,-0.292945324,0,0,0.292945324
0.506786303,0.286138876,0.207074821,,,0.711341383,0.107374213,0.181284404,,,1,,1,,1,0,0,,-0.679665857,0,0,0.679665857,,-0.34060282,0,0,0.34060282
0.195406599,0.241386578,0.563206823,,,0.506252332,0.135375412,0.358372256,,,1,,1,,1,0,0,,-1.632672768,0,0,1.632672768,,-0.680720054,0,0,0.680720054
0.602734949,0.205634303,0.191630748,,,0.813040147,0.078587763,0.10837209,,,0,,2,,0,1,0,,0,-1.581655916,0,1.581655916,,0,-2.543539279,0,2.543539279
0.433226227,0.179153857,0.387619916,,,0.345548283,0.13163173,0.522819987,,,1,,1,,1,0,0,,-0.836495223,0,0,0.836495223,,-1.062622897,0,0,1.062622897
0.044555328,0.134575502,0.82086917,,,0.044825464,0.045206868,0.909967668,,,-1,,3,,0,0,1,,0,0,-0.197391537,0.197391537,,0,0,-0.09434621,0.09434621
0.101737822,0.148187748,0.75007443,,,0.298905729,0.134630107,0.566464164,,,-1,,3,,0,0,1,,0,0,-0.287582837,0.287582837,,0,0,-0.568341459,0.568341459
0.735682606,0.13865736,0.125660034,,,0.811960794,0.078625167,0.10941404,,,1,,1,,1,0,0,,-0.306956495,0,0,0.306956495,,-0.208303223,0,0,0.208303223
