home,away,home_goal,away_goal
Manchester United,Leicester City,7,5
Newcastle United,Tottenham Hotspur,3,6
AFC Bournemouth,Cardiff City,5,2
Fulham,Crystal Palace,7,11
Huddersfield Town,Chelsea,2,5
Watford,Brighton & Hove Albion,6,0
Wolverhampton Wanderers,Everton,5,6
Liverpool,West Ham United,9,3
Southampton,Burnley,4,7
Arsenal,Manchester City,4,9
Cardiff City,Newcastle United,2,7
Everton,Southampton,8,5
Leicester City,Wolverhampton Wanderers,3,4
Tottenham Hotspur,Fulham,12,4
West Ham United,AFC Bournemouth,6,6
Chelsea,Arsenal,12,7
Burnley,Watford,4,7
Manchester City,Huddersfield Town,15,2
Brighton & Hove Albion,Manchester United,4,4
Crystal Palace,Liverpool,3,7
Wolverhampton Wanderers,Manchester City,3,7
AFC Bournemouth,Everton,6,4
Arsenal,West Ham United,11,6
Huddersfield Town,Cardiff City,2,5
Southampton,Leicester City,6,6
Liverpool,Brighton & Hove Albion,9,3
Watford,Crystal Palace,6,4
Fulham,Burnley,13,3
Newcastle United,Chelsea,3,4
Manchester United,Tottenham Hotspur,6,6
Leicester City,Liverpool,6,5
Brighton & Hove Albion,Fulham,6,6
Chelsea,AFC Bournemouth,7,2
Crystal Palace,Southampton,7,7
Everton,Huddersfield Town,2,7
West Ham United,Wolverhampton Wanderers,4,7
Manchester City,Newcastle United,9,3
Cardiff City,Arsenal,4,12
Burnley,Manchester United,3,10
Watford,Tottenham Hotspur,4,3
Tottenham Hotspur,Liverpool,4,11
AFC Bournemouth,Leicester City,6,9
Chelsea,Cardiff City,8,3
Huddersfield Town,Crystal Palace,3,3
Manchester City,Fulham,10,4
Newcastle United,Arsenal,3,3
Watford,Manchester United,6,7
Wolverhampton Wanderers,Burnley,8,3
Everton,West Ham United,5,5
Southampton,Brighton & Hove Albion,6,5
Fulham,Watford,4,7
Burnley,AFC Bournemouth,6,6
Cardiff City,Manchester City,3,11
Crystal Palace,Newcastle United,5,4
Leicester City,Huddersfield Town,9,3
Liverpool,Southampton,5,2
Manchester United,Wolverhampton Wanderers,7,9
Brighton & Hove Albion,Tottenham Hotspur,5,8
West Ham United,Chelsea,2,7
Arsenal,Everton,6,7
West Ham United,Manchester United,4,5
